shania twain,2012-10-22,2,1.6469038E-4
taylor swift,2012-10-22,1627,0.13397563
the darkness,2012-10-22,25,0.0020586299
the dreaming,2012-10-22,1,8.234519E-5
tony bennett,2012-10-22,2,1.6469038E-4
white zombie,2012-10-22,2,1.6469038E-4
benny benassi,2012-10-22,5,4.1172595E-4
bingo players,2012-10-22,1,8.234519E-5
black sabbath,2012-10-22,4,3.2938077E-4
blake shelton,2012-10-22,7,5.764163E-4
calvin harris,2012-10-22,15,0.0012351779
cassadee pope,2012-10-22,1,8.234519E-5
darius rucker,2012-10-22,5,4.1172595E-4
easton corbin,2012-10-22,4,3.2938077E-4
elliott smith,2012-10-22,4,3.2938077E-4
fleetwood mac,2012-10-22,5,4.1172595E-4
flux pavilion,2012-10-22,4,3.2938077E-4
george strait,2012-10-22,12,9.881423E-4
grateful dead,2012-10-22,2,1.6469038E-4
junior senior,2012-10-22,3,2.4703558E-4
justin bieber,2012-10-22,158,0.01301054
kelly rowland,2012-10-22,25,0.0020586299
kenny chesney,2012-10-22,14,0.0011528326
little dragon,2012-10-22,1,8.234519E-5
melanie fiona,2012-10-22,3,2.4703558E-4
missy elliott,2012-10-22,2,1.6469038E-4
nelly furtado,2012-10-22,1,8.234519E-5
one direction,2012-10-22,111,0.009140316
peter gabriel,2012-10-22,1,8.234519E-5
pretty lights,2012-10-22,8,6.5876154E-4
rascal flatts,2012-10-22,19,0.0015645586
reba mcentire,2012-10-22,1,8.234519E-5
savage garden,2012-10-22,1,8.234519E-5
the lumineers,2012-10-22,7,5.764163E-4
the offspring,2012-10-22,3,2.4703558E-4
tracy chapman,2012-10-22,1,8.234519E-5
white stripes,2012-10-22,6,4.9407117E-4
willie nelson,2012-10-22,4,3.2938077E-4
adventure club,2012-10-22,3,2.4703558E-4
britney spears,2012-10-22,15,0.0012351779
cobra starship,2012-10-22,1,8.234519E-5
counting crows,2012-10-22,9,7.411067E-4
ellie goulding,2012-10-22,21,0.001729249
flogging molly,2012-10-22,2,1.6469038E-4
french montana,2012-10-22,18,0.0014822134
good charlotte,2012-10-22,1,8.234519E-5
jennifer lopez,2012-10-22,2,1.6469038E-4
kelly clarkson,2012-10-22,10,8.234519E-4
lynyrd skynyrd,2012-10-22,1,8.234519E-5
marilyn manson,2012-10-22,5,4.1172595E-4
massive attack,2012-10-22,1,8.234519E-5
paul mccartney,2012-10-22,2,1.6469038E-4
postal service,2012-10-22,8,6.5876154E-4
rolling stones,2012-10-22,4,3.2938077E-4
sufjan stevens,2012-10-22,5,4.1172595E-4
the pretenders,2012-10-22,1,8.234519E-5
trey anastasio,2012-10-22,1,8.234519E-5
bloodhound gang,2012-10-22,1,8.234519E-5
christina perri,2012-10-22,3,2.4703558E-4
crystal castles,2012-10-22,7,5.764163E-4
franz ferdinand,2012-10-22,1,8.234519E-5
imagine dragons,2012-10-22,15,0.0012351779
kacey musgraves,2012-10-22,1,8.234519E-5
lady antebellum,2012-10-22,6,4.9407117E-4
matchbox twenty,2012-10-22,1,8.234519E-5
michael jackson,2012-10-22,57,0.004693676
miranda lambert,2012-10-22,13,0.0010704874
porter robinson,2012-10-22,2,1.6469038E-4
brantley gilbert,2012-10-22,6,4.9407117E-4
butthole surfers,2012-10-22,1,8.234519E-5
carrie underwood,2012-10-22,46,0.003787879
hollywood undead,2012-10-22,4,3.2938077E-4
leighton meester,2012-10-22,1,8.234519E-5
melanie martinez,2012-10-22,1,8.234519E-5
alanis morissette,2012-10-22,8,6.5876154E-4
avenged sevenfold,2012-10-22,5,4.1172595E-4
breaking benjamin,2012-10-22,5,4.1172595E-4
bruce springsteen,2012-10-22,10,8.234519E-4
justin timberlake,2012-10-22,34,0.0027997366
silversun pickups,2012-10-22,2,1.6469038E-4
smashing pumpkins,2012-10-22,7,5.764163E-4
christina aguilera,2012-10-22,13,0.0010704874
bush,2012-10-22,206,0.01696311
iron maiden,2012-10-23,1,4.8534264E-5
m83,2012-10-23,4,1.9413706E-4
rem,2012-10-23,24,0.0011648224
akon,2012-10-23,40,0.0019413707
beck,2012-10-23,38,0.001844302
bush,2012-10-23,1008,0.04892254
cake,2012-10-23,942,0.045719277
dido,2012-10-23,12,5.824112E-4
enya,2012-10-23,3,1.456028E-4
fuel,2012-10-23,176,0.008542031
hugo,2012-10-23,29,0.0014074937
korn,2012-10-23,22,0.0010677539
lena,2012-10-23,20,9.7068533E-4
mgmt,2012-10-23,30,0.001456028
moby,2012-10-23,9,4.368084E-4
mr c,2012-10-23,7,3.3973987E-4
muse,2012-10-23,67,0.0032517957
nero,2012-10-23,18,8.736168E-4
orgy,2012-10-23,37,0.0017957678
soil,2012-10-23,33,0.0016016307
styx,2012-10-23,7,3.3973987E-4
tool,2012-10-23,200,0.009706853
ween,2012-10-23,20,9.7068533E-4
zedd,2012-10-23,30,0.001456028
ac dc,2012-10-23,12,5.824112E-4
adele,2012-10-23,148,0.007183071
adema,2012-10-23,2,9.706853E-5
bjork,2012-10-23,2,9.706853E-5
ciara,2012-10-23,120,0.005824112
creed,2012-10-23,101,0.004901961
eve 6,2012-10-23,2,9.706853E-5
gotye,2012-10-23,2,9.706853E-5
jay z,2012-10-23,145,0.0070374683
lmfao,2012-10-23,5552,0.26946223
oasis,2012-10-23,62,0.0030091244
ok go,2012-10-23,10,4.8534267E-4
queen,2012-10-23,667,0.032372355
rusko,2012-10-23,6,2.912056E-4
sting,2012-10-23,45,0.002184042
train,2012-10-23,1020,0.04950495
usher,2012-10-23,149,0.0072316057
avicii,2012-10-23,8,3.8827411E-4
berlin,2012-10-23,41,0.0019899048
chainz,2012-10-23,322,0.015628034
cherub,2012-10-23,4,1.9413706E-4
chopin,2012-10-23,4,1.9413706E-4
clutch,2012-10-23,265,0.012861581
dillon,2012-10-23,47,0.0022811105
eminem,2012-10-23,243,0.011793827
garvey,2012-10-23,5,2.4267133E-4
grimes,2012-10-23,40,0.0019413707
hinder,2012-10-23,5,2.4267133E-4
madeon,2012-10-23,1,4.8534264E-5
monsta,2012-10-23,6,2.912056E-4
rancid,2012-10-23,4,1.9413706E-4
sbtrkt,2012-10-23,3,1.456028E-4
staind,2012-10-23,4,1.9413706E-4
stroke,2012-10-23,105,0.005096098
sum 41,2012-10-23,4,1.9413706E-4
willow,2012-10-23,71,0.0034459329
zero 7,2012-10-23,1,4.8534264E-5
zz top,2012-10-23,9,4.368084E-4
50 cent,2012-10-23,65,0.0031547272
beyonce,2012-10-23,197,0.00956125
borgore,2012-10-23,15,7.28014E-4
cascada,2012-10-23,1,4.8534264E-5
chromeo,2012-10-23,1,4.8534264E-5
estelle,2012-10-23,8,3.8827411E-4
flyleaf,2012-10-23,17,8.2508253E-4
garbage,2012-10-23,278,0.013492526
genesis,2012-10-23,41,0.0019899048
incubus,2012-10-23,18,8.736168E-4
juicy j,2012-10-23,115,0.0055814404
la roux,2012-10-23,1,4.8534264E-5
madonna,2012-10-23,58,0.0028149874
nirvana,2012-10-23,34,0.0016501651
pantera,2012-10-23,9,4.368084E-4
pitbull,2012-10-23,77,0.0037371384
placebo,2012-10-23,5,2.4267133E-4
rihanna,2012-10-23,303,0.014705882
santana,2012-10-23,22,0.0010677539
seether,2012-10-23,9,4.368084E-4
shakira,2012-10-23,18,8.736168E-4
sublime,2012-10-23,32,0.0015530965
tantric,2012-10-23,1,4.8534264E-5
the who,2012-10-23,16,7.7654823E-4
volbeat,2012-10-23,1,4.8534264E-5
afrojack,2012-10-23,13,6.3094543E-4
bon iver,2012-10-23,24,0.0011648224
bon jovi,2012-10-23,8,3.8827411E-4
chevelle,2012-10-23,4,1.9413706E-4
coldplay,2012-10-23,64,0.003106193
daughtry,2012-10-23,5,2.4267133E-4
deadmau5,2012-10-23,30,0.001456028
deftones,2012-10-23,22,0.0010677539
don omar,2012-10-23,10,4.8534267E-4
everlast,2012-10-23,1,4.8534264E-5
godsmack,2012-10-23,3,1.456028E-4
gorillaz,2012-10-23,4,1.9413706E-4
jessie j,2012-10-23,4,1.9413706E-4
kid rock,2012-10-23,3,1.456028E-4
krewella,2012-10-23,13,6.3094543E-4
maroon 5,2012-10-23,137,0.0066491943
mutemath,2012-10-23,8,3.8827411E-4
new boyz,2012-10-23,4,1.9413706E-4
no doubt,2012-10-23,340,0.01650165
owl city,2012-10-23,24,0.0011648224
pit bull,2012-10-23,13,6.3094543E-4
rita ora,2012-10-23,18,8.736168E-4
skrillex,2012-10-23,47,0.0022811105
slipknot,2012-10-23,13,6.3094543E-4
the cure,2012-10-23,50,0.0024267132
the fray,2012-10-23,28,0.0013589595
the used,2012-10-23,6,2.912056E-4
tomahawk,2012-10-23,9,4.368084E-4
aerosmith,2012-10-23,18,8.736168E-4
ben folds,2012-10-23,3,1.456028E-4
blackmill,2012-10-23,1,4.8534264E-5
blink 182,2012-10-23,41,0.0019899048
bob dylan,2012-10-23,9,4.368084E-4
candlebox,2012-10-23,2,9.706853E-5
china man,2012-10-23,1,4.8534264E-5
daft punk,2012-10-23,8,3.8827411E-4
disturbed,2012-10-23,40,0.0019413707
don davis,2012-10-23,4,1.9413706E-4
everclear,2012-10-23,6,2.912056E-4
foreigner,2012-10-23,19,9.22151E-4
glee cast,2012-10-23,6,2.912056E-4
green day,2012-10-23,38,0.001844302
halestorm,2012-10-23,5,2.4267133E-4
hatebreed,2012-10-23,6,2.912056E-4
icona pop,2012-10-23,3,1.456028E-4
kip moore,2012-10-23,9,4.368084E-4
lady gaga,2012-10-23,70,0.0033973986
lee brice,2012-10-23,8,3.8827411E-4
lifehouse,2012-10-23,8,3.8827411E-4
lil wayne,2012-10-23,290,0.0140749365
metallica,2012-10-23,30,0.001456028
nadia ali,2012-10-23,1,4.8534264E-5
oakenfold,2012-10-23,1,4.8534264E-5
pearl jam,2012-10-23,16,7.7654823E-4
priestess,2012-10-23,1,4.8534264E-5
radiohead,2012-10-23,13,6.3094543E-4
semisonic,2012-10-23,4,1.9413706E-4
shinedown,2012-10-23,20,9.7068533E-4
sugar ray,2012-10-23,2,9.706853E-5
the clash,2012-10-23,3,1.456028E-4
the hives,2012-10-23,1,4.8534264E-5
the vines,2012-10-23,2,9.706853E-5
timbaland,2012-10-23,4,1.9413706E-4
van halen,2012-10-23,9,4.368084E-4
alex clare,2012-10-23,3,1.456028E-4
asher roth,2012-10-23,12,5.824112E-4
audioslave,2012-10-23,3,1.456028E-4
awolnation,2012-10-23,17,8.2508253E-4
bassnecter,2012-10-23,3,1.456028E-4
beach boys,2012-10-23,4,1.9413706E-4
ben howard,2012-10-23,1,4.8534264E-5
billy joel,2012-10-23,5,2.4267133E-4
bob marley,2012-10-23,61,0.0029605902
bruno mars,2012-10-23,68,0.0033003301
buckcherry,2012-10-23,6,2.912056E-4
cher lloyd,2012-10-23,13,6.3094543E-4
crazy town,2012-10-23,3,1.456028E-4
disclosure,2012-10-23,2,9.706853E-5
ed sheehan,2012-10-23,3,1.456028E-4
eric prydz,2012-10-23,1,4.8534264E-5
gary allan,2012-10-23,7,3.3973987E-4
ghost town,2012-10-23,8,3.8827411E-4
goldfinger,2012-10-23,3,1.456028E-4
greg bates,2012-10-23,1,4.8534264E-5
hoobastank,2012-10-23,8,3.8827411E-4
jack white,2012-10-23,5,2.4267133E-4
jake owens,2012-10-23,2,9.706853E-5
jason mraz,2012-10-23,20,9.7068533E-4
jawbreaker,2012-10-23,1,4.8534264E-5
katy perry,2012-10-23,77,0.0037371384
luke bryan,2012-10-23,107,0.0051931664
neil young,2012-10-23,10,4.8534267E-4
neon trees,2012-10-23,29,0.0014074937
nickelback,2012-10-23,26,0.0012618909
otto knows,2012-10-23,1,4.8534264E-5
papa roach,2012-10-23,6,2.912056E-4
pink floyd,2012-10-23,20,9.7068533E-4
rob thomas,2012-10-23,5,2.4267133E-4
rob zombie,2012-10-23,21,0.0010192195
steely dan,2012-10-23,2,9.706853E-5
stone sour,2012-10-23,5,2.4267133E-4
the remote,2012-10-23,63,0.0030576587
the script,2012-10-23,37,0.0017957678
the smiths,2012-10-23,6,2.912056E-4
the wanted,2012-10-23,25,0.0012133566
the weeknd,2012-10-23,210,0.010192196
tim mcgraw,2012-10-23,24,0.0011648224
toby keith,2012-10-23,6,2.912056E-4
wolfmother,2012-10-23,1,4.8534264E-5
alicia keys,2012-10-23,60,0.002912056
blaqk audio,2012-10-23,1,4.8534264E-5
blind melon,2012-10-23,1,4.8534264E-5
casey james,2012-10-23,1,4.8534264E-5
chris brown,2012-10-23,382,0.01854009
chris cagle,2012-10-23,1,4.8534264E-5
david bowie,2012-10-23,4,1.9413706E-4
def leppard,2012-10-23,5,2.4267133E-4
die antwood,2012-10-23,1,4.8534264E-5
duran duran,2012-10-23,8,3.8827411E-4
eric church,2012-10-23,42,0.002038439
evanescence,2012-10-23,7,3.3973987E-4
fiona apple,2012-10-23,1,4.8534264E-5
frank zappa,2012-10-23,1,4.8534264E-5
freestylers,2012-10-23,1,4.8534264E-5
imogen heap,2012-10-23,2,9.706853E-5
james blunt,2012-10-23,4,1.9413706E-4
james brown,2012-10-23,7,3.3973987E-4
knife party,2012-10-23,16,7.7654823E-4
leann rimes,2012-10-23,4,1.9413706E-4
linkin park,2012-10-23,27,0.0013104251
major lazer,2012-10-23,1,4.8534264E-5
mike posner,2012-10-23,9,4.368084E-4
miles davis,2012-10-23,3,1.456028E-4
moody blues,2012-10-23,1,4.8534264E-5
motley crue,2012-10-23,1,4.8534264E-5
nicki minaj,2012-10-23,136,0.0066006603
onerepublic,2012-10-23,10,4.8534267E-4
